"","cid","organism","testtype","route","dose_mg_per_kg","effect","reference","cmpdname","category","who_hazard_class"
"12",10788,"rat","LD50","subcutaneous","470","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet","Terrestrial","II"
"13",10788,"mouse","LD50","oral","180","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet","Terrestrial","II"
"14",10788,"mouse","LD50","skin","2400","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet","Terrestrial","III"
"15",10788,"mouse","LD50","intraperitoneal","98","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet","Terrestrial","II"
"16",10788,"mouse","LD50","subcutaneous","248","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet","Terrestrial","II"
"17",10788,"mouse","LD50","unreported","650","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(430), 1971","Dazomet","Terrestrial","II"
"18",10788,"dog","LD50","intraperitoneal","47","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet","Terrestrial","Ib"
"19",10788,"dog","LDLo","intramuscular","250","SENSE ORGANS AND SPECIAL SENSES: MYDRIASIS (PUPILLARY DILATION): EYE; VASCULAR: BP ELEVATION NOT CHARACTERIZED IN AUTONOMIC SECTION; GASTROINTESTINAL: HYPERMOTILITY, DIARRHEA","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet","Terrestrial","II"
"20",10788,"rabbit","LD50","oral","120","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet","Terrestrial","II"
"21",10788,"rabbit","LD50","intraperitoneal","127","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet","Terrestrial","II"
"22",10788,"guinea pig","LD50","oral","160","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet","Terrestrial","II"
"23",1118,"man","LDLo","unreported","135","NULL","Poisoning; Toxicology, Symptoms, Treatments, 2nd ed., Arena, J.M., Springfield, IL, C.C. Thomas, 1970, 2(73), 1970","Sulfuric Acid","Terrestrial","II"
"24",1118,"rat","LD50","oral","2140","NULL","American Industrial Hygiene Association Journal., 30(470), 1969 [PMID:5823428]","Sulfuric Acid","Terrestrial","III"
"25",115224,"rat","LD50","oral","444","BEHAVIORAL: TREMOR; GASTROINTESTINAL: DECREASED MOTILITY OR CONSTIPATION; SKIN AND APPENDAGES (SKIN): HAIR: OTHER","National Technical Information Service., OTS0559690","Thiacloprid","Terrestrial","II"
"26",121494065,"women","LDLo","oral","562","BEHAVIORAL: COMA; CARDIAC: OTHER CHANGES","Journal of Toxicology, Clinical Toxicology., 35(299), 1997 [PMID:9140325]","Calcium polysulfide","Terrestrial","II"
"27",121494065,"man","TDLo","oral","891","BEHAVIORAL: MUSCLE WEAKNESS; GASTROINTESTINAL: ALTERATION IN GASTRIC SECRETION","Journal of Toxicology, Clinical Toxicology., 35(299), 1997 [PMID:9140325]","Calcium polysulfide","Terrestrial","II"
"28",12232,"mammal (species unspecified)","LD50","unreported","138","NULL","Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 16(6)(46), 1972","Dimethyl disulfide","Terrestrial","II"
"29",12901,"human","LDLo","oral","50","NULL","Special Publication of the Entomological Society of America., 74-1(-), 1974","Phosmet","Terrestrial","II"
"30",12901,"rat","LD50","skin","1326","NULL","Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(59), 1982","Phosmet","Terrestrial","II"
"31",12901,"mouse","LD50","oral","26","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Hygiene and Sanitation, 34(1-3)(192), 1969","Phosmet","Terrestrial","Ib"
"32",12901,"cat","LD50","unreported","78","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 35(12)(94), 1970","Phosmet","Terrestrial","II"
"33",12901,"rabbit","LD50","skin","3160","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A325(1983)","Phosmet","Terrestrial","III"
"34",12901,"guinea pig","LD50","oral","200","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Hygiene and Sanitation, 34(1-3)(192), 1969","Phosmet","Terrestrial","II"
"35",12901,"guinea pig","LD50","unreported","210","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 35(12)(94), 1970","Phosmet","Terrestrial","II"
"36",12901,"chicken","LD50","oral","707","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 6(147), 1964","Phosmet","Terrestrial","II"
"37",12901,"duck","LD50","oral","1830","NULL","Down to Earth., 35(25), 1979","Phosmet","Aquatic","II"
"38",12901,"mammal (species unspecified)","LD50","unreported","40","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(370), 1971","Phosmet","Terrestrial","Ib"
"39",12901,"bird - wild","LD50","oral","18","NULL","Toxicology and Applied Pharmacology., 21(315), 1972 [PMID:5027965]","Phosmet","Terrestrial","Ib"
"40",12901,"rat","LD50","unreported","132","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 35(12)(94), 1970","Phosmet","Terrestrial","II"
"41",12932,"rat","LD50","oral","271","NULL","Farm Chemicals Handbook., -(C42), 1991","Bensulide","Terrestrial","II"
"42",12932,"rat","LD50","skin","3950","NULL","Pesticide Manual., 9(63), 1991","Bensulide","Terrestrial","III"
"43",12932,"rat","LD50","unreported","770","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(375), 1971","Bensulide","Terrestrial","II"
"44",12932,"mouse","LD50","oral","1540","NULL","Japan Pesticide Information., (27)(11), 1976","Bensulide","Terrestrial","II"
"45",12932,"mouse","LD50","intraperitoneal","630","NULL","Japan Pesticide Information., (27)(11), 1976","Bensulide","Terrestrial","II"
"46",12932,"mouse","LD50","subcutaneous","630","NULL","Japan Pesticide Information., (27)(11), 1976","Bensulide","Terrestrial","II"
"47",12932,"quail","LD50","oral","1386","NULL","Pesticide Manual., 9(63), 1991","Bensulide","Terrestrial","II"
"48",12968,"rat","LD50","oral","916","NULL","National Technical Information Service., PB82-913299","S-Ethyl dipropylthiocarbamate","Terrestrial","II"
"49",12968,"rat","LD50","skin","3200","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 36(2)(29), 1971","S-Ethyl dipropylthiocarbamate","Terrestrial","III"
"50",12968,"rat","LD50","unreported","1660","NULL","Environmental Quality and Safety, Supplement., 3(618), 1975 [PMID:1063688]","S-Ethyl dipropylthiocarbamate","Terrestrial","II"
"51",12968,"mouse","LD50","oral","750","NULL","Hygiene and Sanitation, 36(1-3)(196), 1971","S-Ethyl dipropylthiocarbamate","Terrestrial","II"
"52",12968,"mouse","LD50","intraperitoneal","58","NULL","Journal of Agricultural and Food Chemistry., 25(404), 1977 [PMID:838982]","S-Ethyl dipropylthiocarbamate","Terrestrial","II"
"53",12968,"mouse","LD50","intravenous","320","NULL","U.S. Army Armament Research & Development Command, Chemical Systems Laboratory, NIOSH Exchange Chemicals., NX#03907","S-Ethyl dipropylthiocarbamate","Terrestrial","II"
"54",12968,"cat","LD50","oral","112","NULL","Hygiene and Sanitation, 36(1-3)(196), 1971","S-Ethyl dipropylthiocarbamate","Terrestrial","II"
"55",12968,"rabbit","LD50","oral","2640","NULL","Prehled Prumyslove Toxikologie; Organicke Latky, Marhold, J., Prague, Czechoslovakia, Avicenum, 1986, -(1020), 1986","S-Ethyl dipropylthiocarbamate","Terrestrial","III"
"56",12968,"rabbit","LD50","skin","1460","NULL","World Review of Pest Control., 9(119), 1970","S-Ethyl dipropylthiocarbamate","Terrestrial","II"
"57",12968,"mammal (species unspecified)","LD50","unreported","1660","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 45(5)(29), 1980","S-Ethyl dipropylthiocarbamate","Terrestrial","II"
"58",12968,"bird - wild","LD50","oral","100","NULL","Toxicology and Applied Pharmacology., 21(315), 1972 [PMID:5027965]","S-Ethyl dipropylthiocarbamate","Terrestrial","II"
"59",13081,"rat","LD50","skin","27","BEHAVIORAL: TREMOR; BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: EXCITEMENT","Toxicology and Applied Pharmacology., 2(88), 1960 [PMID:13825957]","Carbophenothion","Terrestrial","Ib"
"60",13081,"rat","LD50","intraperitoneal","6","NULL","Advances in Pest Control Research., 4(117), 1961","Carbophenothion","Terrestrial","Ib"
"61",13081,"mouse","LD50","oral","218","NULL","Agricultural Research Service, USDA Information Memorandum., 20(6), 1966","Carbophenothion","Terrestrial","II"
"62",13081,"mouse","LD50","intraperitoneal","27","NULL","Proceedings of the Society for Experimental Biology and Medicine., 129(699), 1968 [PMID:5725078]","Carbophenothion","Terrestrial","Ib"
"63",13081,"rabbit","LD50","oral","1250","NULL","Special Publication of the Entomological Society of America., 78-1(40), 1978","Carbophenothion","Terrestrial","II"
"64",13081,"rabbit","LD50","skin","1270","NULL","Pesticide Chemicals Official Compendium, Association of the American Pesticide Control Officials, Inc., 1966., -(200), 1966","Carbophenothion","Terrestrial","II"
"65",13081,"chicken","LD50","oral","57200","PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: ATAXIA","Toxicology and Applied Pharmacology., 11, 49","Carbophenothion","Terrestrial","U"
"66",13081,"domestic animals - goat/sheep","LD50","oral","14","NULL","Ecotoxicology and Environmental Safety., 2(151), 1978 [PMID:729517]","Carbophenothion","Terrestrial","Ib"
"67",13081,"chicken","LD50","subcutaneous","640","PERIPHERAL NERVE AND SENSATION: FLACCID PARALYSIS WITHOUT ANESTHESIA (USUALLY NEUROMUSCULAR BLOCKAGE); BEHAVIORAL: FOOD INTAKE (ANIMAL); GASTROINTESTINAL: HYPERMOTILITY, DIARRHEA","Biochemical Pharmacology., 12(1377), 1963 [PMID:14096425]","Carbophenothion","Terrestrial","II"
"68",135491728,"rat","LD50","oral","1360","NULL","Farm Chemicals Handbook., -(C272), 1991","Clethodim","Terrestrial","II"
"69",135491830,"rat","LD50","oral","3200","NULL","Farm Chemicals Handbook., -(C274), 1991","Sethoxydim","Terrestrial","III"
"70",135491830,"rat","LD50","intraperitoneal","1493","NULL","Defense des Vegetaux., 38(213), 1984","Sethoxydim","Terrestrial","II"
"71",135491830,"rat","LD50","intravenous","505","NULL","Japan Pesticide Information., (41)(18), 1982","Sethoxydim","Terrestrial","II"
"72",135491830,"mouse","LD50","oral","5600","NULL","Japan Pesticide Information., (41)(18), 1982","Sethoxydim","Terrestrial","U"
"73",135491830,"mouse","LD50","intravenous","485","NULL","Japan Pesticide Information., (41)(18), 1982","Sethoxydim","Terrestrial","II"
"74",135491830,"rabbit","LD50","oral","4600","NULL","Defense des Vegetaux., 38(213), 1984","Sethoxydim","Terrestrial","III"
"75",13709,"man","TDLo","oral","93","SENSE ORGANS AND SPECIAL SENSES: MIOSIS (PUPILLARY CONSTRICTION): EYE; SENSE ORGANS AND SPECIAL SENSES: LACRIMATION: EYE; BEHAVIORAL: COMA","Human & Experimental Toxicology., 9(415), 1990 [PMID:2271234]","Methidathion","Terrestrial","II"
"76",13709,"rat","LD50","oral","20","NULL","World Review of Pest Control., 9(119), 1970","Methidathion","Terrestrial","Ib"
"77",13709,"rat","LD50","skin","25","NULL","World Review of Pest Control., 9(119), 1970","Methidathion","Terrestrial","Ib"
"78",13709,"mouse","LD50","oral","25","NULL","Bulletin of the Entomological Society of America., 15(122), 1969","Methidathion","Terrestrial","Ib"
"79",13709,"rabbit","LD50","oral","63","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A268(1983)","Methidathion","Terrestrial","II"
"80",13709,"rabbit","LD50","skin","196","NULL","Ciba-Geigy Toxicology Data/Indexes.","Methidathion","Terrestrial","II"
"81",13709,"guinea pig","LD50","oral","25","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A268(1983)","Methidathion","Terrestrial","Ib"
"82",13709,"chicken","LD50","oral","80","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A268(1983)","Methidathion","Terrestrial","II"
"83",13709,"mammal (species unspecified)","LD50","oral","25","NULL","Herba Polonica., 21(53), 1975","Methidathion","Terrestrial","Ib"
"84",13709,"mammal (species unspecified)","LD50","unreported","25","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(372), 1971","Methidathion","Terrestrial","Ib"
"85",14337,"rat","LD50","oral","1678","NULL","Fundamental and Applied Toxicology., 7(299), 1986","Cycloate","Terrestrial","II"
"86",14337,"rat","LD50","skin","2467","NULL","Fundamental and Applied Toxicology., 7(299), 1986","Cycloate","Terrestrial","III"
"87",14337,"rat","LD50","unreported","2325","NULL","Environmental Quality and Safety, Supplement., 3(618), 1975 [PMID:1063688]","Cycloate","Terrestrial","III"
"88",14337,"mouse","LD50","oral","1275","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); BEHAVIORAL: COMA","Gigiena i Sanitariya.  For English translation, see HYSAAV., 51(10)(77), 1986","Cycloate","Terrestrial","II"
"89",14337,"mouse","LD50","unreported","2300","NULL","Tsitologiya i Genetika.  Cytology and Genetics.  For English translation, see CYGEDX., 16(1)(45), 1982","Cycloate","Terrestrial","III"
"90",14337,"guinea pig","LD50","oral","1600","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); BEHAVIORAL: COMA","Gigiena i Sanitariya.  For English translation, see HYSAAV., 51(10)(77), 1986","Cycloate","Terrestrial","II"
"91",14337,"mammal (species unspecified)","LD50","unreported","2300","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 45(5)(29), 1980","Cycloate","Terrestrial","III"
"92",1486,"man","TDLo","oral","5714","BEHAVIORAL: COMA; CARDIAC: CHANGE IN RATE; LUNGS, THORAX, OR RESPIRATION: RESPIRATORY DEPRESSION","Archives of Toxicology., 66(518), 1992 [PMID:1444815]","2,4-Dichlorophenoxyacetic acid","Terrestrial","U"
"93",1486,"human","LDLo","oral","80","GASTROINTESTINAL: NAUSEA OR VOMITING; BEHAVIORAL: COMA; BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)","Archives of Pathology., 94(270), 1972 [PMID:5051650]","2,4-Dichlorophenoxyacetic acid","Terrestrial","II"
"94",1486,"rat","LD50","oral","375","NULL","Farm Chemicals Handbook., -(C174), 1991","2,4-Dichlorophenoxyacetic acid","Terrestrial","II"
"95",1486,"rat","LD50","skin","1500","NULL","World Review of Pest Control., 9(119), 1970","2,4-Dichlorophenoxyacetic acid","Terrestrial","II"
"96",1486,"rat","LD50","intraperitoneal","666","PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: MUSCLE WEAKNESS; BEHAVIORAL: COMA","Journal of Industrial Hygiene and Toxicology., 29(85), 1947","2,4-Dichlorophenoxyacetic acid","Terrestrial","II"
"97",1486,"mouse","LD50","oral","347","NULL","Roczniki Panstwowego Zakladu Higieny., 31(373), 1980 [PMID:7433826]","2,4-Dichlorophenoxyacetic acid","Terrestrial","II"
"98",1486,"mouse","LDLo","intraperitoneal","125","NULL","Toxicology and Applied Pharmacology., 23(288), 1972 [PMID:5074577]","2,4-Dichlorophenoxyacetic acid","Terrestrial","II"
"99",1486,"dog","LD50","oral","100","BEHAVIORAL: STIFFNESS; BEHAVIORAL: COMA","Archives of Environmental Health., 7(202), 1963","2,4-Dichlorophenoxyacetic acid","Terrestrial","II"
"100",1486,"rabbit","LDLo","oral","800","NULL","Archives des Maladies Professionnelles de Medecine du Travail et de Securite Sociale., 12(26), 1951 [PMID:14820443]","2,4-Dichlorophenoxyacetic acid","Terrestrial","II"
"101",1486,"rabbit","LD50","skin","1400","BEHAVIORAL: ATAXIA; SKIN AND APPENDAGES (SKIN): PRIMARY IRRITATION: AFTER TOPICAL EXPOSURE","Quarterly Bulletin--Association of Food and Drug Officials of the United States., 16(3), 1952","2,4-Dichlorophenoxyacetic acid","Terrestrial","II"
"102",1486,"rabbit","LD50","intraperitoneal","400","PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: MUSCLE WEAKNESS; BEHAVIORAL: COMA","Journal of Industrial Hygiene and Toxicology., 29(85), 1947","2,4-Dichlorophenoxyacetic acid","Terrestrial","II"
"103",1486,"rabbit","LD50","intravenous","400","PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: MUSCLE WEAKNESS; BEHAVIORAL: COMA","Journal of Industrial Hygiene and Toxicology., 29(85), 1947","2,4-Dichlorophenoxyacetic acid","Terrestrial","II"
"104",1486,"guinea pig","LD50","intraperitoneal","666","PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: MUSCLE WEAKNESS; BEHAVIORAL: COMA","Journal of Industrial Hygiene and Toxicology., 29(85), 1947","2,4-Dichlorophenoxyacetic acid","Terrestrial","II"
"105",1486,"hamster","LD50","oral","500","NULL","Toxicology and Applied Pharmacology., 48(A192), 1979","2,4-Dichlorophenoxyacetic acid","Terrestrial","II"
"106",1486,"mammal (species unspecified)","LD50","oral","375","NULL","Science., 165(465), 1969","2,4-Dichlorophenoxyacetic acid","Terrestrial","II"
"107",1486,"guinea pig","LD50","oral","469","NULL","American Journal of Veterinary Research., 15(622), 1954 [PMID:13207589]","2,4-Dichlorophenoxyacetic acid","Terrestrial","II"
"108",1486,"chicken","LD50","oral","541","GASTROINTESTINAL: GASTRITIS; BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); LIVER: FATTY LIVER DEGERATION","American Journal of Veterinary Research., 15(622), 1954 [PMID:13207589]","2,4-Dichlorophenoxyacetic acid","Terrestrial","II"
"109",1486,"man","LDLo","oral","93","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Pharmacological Reviews., 14(225), 1962 [PMID:13883209]","2,4-Dichlorophenoxyacetic acid","Terrestrial","II"
"110",1489,"rat","LD50","oral","700","NULL","Residue Reviews., 10(97), 1965 [PMID:4865270]","4-(2,4-Dichlorophenoxy)butanoic acid","Terrestrial","II"
"111",1489,"rat","LD50","skin","800","NULL","World Review of Pest Control., 9(119), 1970","4-(2,4-Dichlorophenoxy)butanoic acid","Terrestrial","II"
"112",1489,"mouse","LDLo","oral","750","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 29(1)(12), 1964","4-(2,4-Dichlorophenoxy)butanoic acid","Terrestrial","II"
"113",15331,"rat","LD50","oral","8400","NULL","Farm Chemicals Handbook., -(C94), 1991","Daminozide","Terrestrial","U"
"114",15331,"mouse","LD50","oral","6300","NULL","Materialy Nauchnoi Konferentsii Kaunasskogo Meditsinskogo Inst., 22nd, 1972, Materials of the Scientific Conference of Kaunas Medical Institute, Vaichyuvenas, V.A., ed., Kaunas, USSR, Kaunasskii Meditsinskii Institut, 1973, 22(126), 1973","Daminozide","Terrestrial","U"
"115",15331,"mouse","LD50","intraperitoneal","1325","NULL","Materialy Nauchnoi Konferentsii Kaunasskogo Meditsinskogo Inst., 22nd, 1972, Materials of the Scientific Conference of Kaunas Medical Institute, Vaichyuvenas, V.A., ed., Kaunas, USSR, Kaunasskii Meditsinskii Institut, 1973, 22(126), 1973","Daminozide","Terrestrial","II"
"116",15331,"mammal (species unspecified)","LD50","unreported","8400","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(127), 1971","Daminozide","Terrestrial","U"
"117",153909,"quail","LD50","oral","2250","NULL","Pesticide Manual., 9(840), 1991","Tribenuron-methyl","Terrestrial","III"
"118",15531,"rat","LD50","skin","2","NULL","Pesticide Manual., 9(100), 1991","Bromoxynil","Terrestrial","Ia"
"119",15531,"mouse","LD50","oral","110","NULL","Guide to the Chemicals Used in Crop Protection., 6(55), 1973","Bromoxynil","Terrestrial","II"
"120",15531,"mouse","LD50","intravenous","56","NULL","U.S. Army Armament Research & Development Command, Chemical Systems Laboratory, NIOSH Exchange Chemicals., NX#02212","Bromoxynil","Terrestrial","II"
"121",15531,"dog","LD50","oral","100","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A045(1983)","Bromoxynil","Terrestrial","II"
"122",15531,"rabbit","LD50","oral","260","NULL","Wirksubstanzen der Pflanzenschutz und Schadlingsbekampfungsmittel, Perkow, W., Berlin, Verlag Paul Parey, 1971-1976, -(-), 1971/1976","Bromoxynil","Terrestrial","II"
"123",15531,"rabbit","LD50","skin","3660","NULL","Pesticide Manual., 9(100), 1991","Bromoxynil","Terrestrial","III"
"124",15531,"guinea pig","LD50","oral","63","NULL","Guide to the Chemicals Used in Crop Protection., 6(55), 1973","Bromoxynil","Terrestrial","II"
"125",15531,"chicken","LD50","oral","240","NULL","Pesticide Manual., 9(100), 1991","Bromoxynil","Terrestrial","II"
"126",15531,"duck","LD50","oral","200","NULL","Down to Earth., 35(25), 1979","Bromoxynil","Aquatic","II"
"127",15531,"mammal (species unspecified)","LD50","unreported","190","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(150), 1971","Bromoxynil","Terrestrial","II"
"128",15531,"bird - wild","LD50","oral","50","NULL","Pesticide Manual., 9(100), 1991","Bromoxynil","Terrestrial","II"
"129",15531,"rat","LD50","oral","190","NULL","World Review of Pest Control., 9(119), 1970","Bromoxynil","Terrestrial","II"
"130",15553,"rat","LD50","oral","4300","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A433(1985)","Clopyralid","Terrestrial","III"
"131",15553,"rat","LD50","intraperitoneal","900","NULL","Defense des Vegetaux., 31(387), 1977","Clopyralid","Terrestrial","II"
"132",15553,"duck","LD50","oral","1465","NULL","Pesticide Manual., 9(182), 1991","Clopyralid","Aquatic","II"
"133",15910,"rat","LD50","skin","2500","NULL","Fundamental and Applied Toxicology., 7(299), 1986","Chlorothalonil","Terrestrial","III"
"134",15910,"mouse","LD50","oral","3700","NULL","Hokkaidoritsu Eisei Kenkyushoho.  Report of the Hokkaido Institute of Public Health., 30(53), 1980","Chlorothalonil","Terrestrial","III"
"135",15939,"man","LDLo","oral","171","LUNGS, THORAX, OR RESPIRATION: FIBROSIS, FOCAL (PNEUMOCONIOSIS); GASTROINTESTINAL: CHANGE IN STRUCTURE OR FUNCTION OF ESOPHAGUS; GASTROINTESTINAL: ULCERATION OR BLEEDING FROM STOMACH","Journal of Toxicology, Clinical Toxicology., 26(35), 1988 [PMID:3385847]","Paraquat","Terrestrial","II"
