cid,CAS,organism,testtype,route,dose_mg_per_kg,effect,reference,cmpdname
10788,533-74-4,mouse,LD50,intraperitoneal,98,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992",Dazomet
10788,533-74-4,mouse,LD50,subcutaneous,248,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992",Dazomet
10788,533-74-4,mouse,LD50,unreported,650,,"Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(430), 1971",Dazomet
10788,533-74-4,dog,LD50,intraperitoneal,47,BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Toxicology and Applied Pharmacology., 9(521), 1966",Dazomet
10788,533-74-4,dog,LDLo,intramuscular,250,"SENSE ORGANS AND SPECIAL SENSES: MYDRIASIS (PUPILLARY DILATION): EYE; VASCULAR: BP ELEVATION NOT CHARACTERIZED IN AUTONOMIC SECTION; GASTROINTESTINAL: HYPERMOTILITY, DIARRHEA","Toxicology and Applied Pharmacology., 9(521), 1966",Dazomet
10788,533-74-4,rabbit,LD50,oral,120,BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Toxicology and Applied Pharmacology., 9(521), 1966",Dazomet
10788,533-74-4,rabbit,LD50,intraperitoneal,127,BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Toxicology and Applied Pharmacology., 9(521), 1966",Dazomet
10788,533-74-4,guinea pig,LD50,oral,160,BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Toxicology and Applied Pharmacology., 9(521), 1966",Dazomet
1118,7664-93-9,man,LDLo,unreported,135,,"Poisoning; Toxicology, Symptoms, Treatments, 2nd ed., Arena, J.M., Springfield, IL, C.C. Thomas, 1970, 2(73), 1970",Sulfuric Acid
1118,7664-93-9,rat,LD50,oral,2140,,"American Industrial Hygiene Association Journal., 30(470), 1969 [PMID:5823428]",Sulfuric Acid
115224,111988-49-9,rat,LD50,oral,444,BEHAVIORAL: TREMOR; GASTROINTESTINAL: DECREASED MOTILITY OR CONSTIPATION; SKIN AND APPENDAGES (SKIN): HAIR: OTHER,"National Technical Information Service., OTS0559690",Thiacloprid
121494065,1332-68-9,women,LDLo,oral,562,BEHAVIORAL: COMA; CARDIAC: OTHER CHANGES,"Journal of Toxicology, Clinical Toxicology., 35(299), 1997 [PMID:9140325]",Calcium polysulfide
121494065,1332-68-9,man,TDLo,oral,891,BEHAVIORAL: MUSCLE WEAKNESS; GASTROINTESTINAL: ALTERATION IN GASTRIC SECRETION,"Journal of Toxicology, Clinical Toxicology., 35(299), 1997 [PMID:9140325]",Calcium polysulfide
12232,624-92-0,mammal (species unspecified),LD50,unreported,138,,"Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 16(6)(46), 1972",Dimethyl disulfide
12901,732-11-6,human,LDLo,oral,50,,"Special Publication of the Entomological Society of America., 74-1(-), 1974",Phosmet
12901,732-11-6,rat,LD50,skin,1326,,"Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(59), 1982",Phosmet
12901,732-11-6,mouse,LD50,oral,26,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Hygiene and Sanitation, 34(1-3)(192), 1969",Phosmet
12901,732-11-6,cat,LD50,unreported,78,,"Gigiena i Sanitariya.  For English translation, see HYSAAV., 35(12)(94), 1970",Phosmet
12901,732-11-6,rabbit,LD50,skin,3160,,"Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A325(1983)",Phosmet
12901,732-11-6,guinea pig,LD50,oral,200,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Hygiene and Sanitation, 34(1-3)(192), 1969",Phosmet
12901,732-11-6,guinea pig,LD50,unreported,210,,"Gigiena i Sanitariya.  For English translation, see HYSAAV., 35(12)(94), 1970",Phosmet
12901,732-11-6,chicken,LD50,oral,707,BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Toxicology and Applied Pharmacology., 6(147), 1964",Phosmet
12901,732-11-6,duck,LD50,oral,1830,,"Down to Earth., 35(25), 1979",Phosmet
12901,732-11-6,mammal (species unspecified),LD50,unreported,40,,"Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(370), 1971",Phosmet
12901,732-11-6,bird - wild,LD50,oral,18,,"Toxicology and Applied Pharmacology., 21(315), 1972 [PMID:5027965]",Phosmet
12901,732-11-6,rat,LD50,unreported,132,,"Gigiena i Sanitariya.  For English translation, see HYSAAV., 35(12)(94), 1970",Phosmet
12932,741-58-2,rat,LD50,oral,271,,"Farm Chemicals Handbook., -(C42), 1991",Bensulide
12932,741-58-2,rat,LD50,skin,3950,,"Pesticide Manual., 9(63), 1991",Bensulide
12932,741-58-2,rat,LD50,unreported,770,,"Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(375), 1971",Bensulide
12932,741-58-2,mouse,LD50,oral,1540,,"Japan Pesticide Information., (27)(11), 1976",Bensulide
12932,741-58-2,mouse,LD50,intraperitoneal,630,,"Japan Pesticide Information., (27)(11), 1976",Bensulide
12932,741-58-2,mouse,LD50,subcutaneous,630,,"Japan Pesticide Information., (27)(11), 1976",Bensulide
12932,741-58-2,quail,LD50,oral,1386,,"Pesticide Manual., 9(63), 1991",Bensulide
12968,759-94-4,rat,LD50,oral,916,,"National Technical Information Service., PB82-913299",S-Ethyl dipropylthiocarbamate
12968,759-94-4,rat,LD50,skin,3200,,"Gigiena i Sanitariya.  For English translation, see HYSAAV., 36(2)(29), 1971",S-Ethyl dipropylthiocarbamate
12968,759-94-4,rat,LD50,unreported,1660,,"Environmental Quality and Safety, Supplement., 3(618), 1975 [PMID:1063688]",S-Ethyl dipropylthiocarbamate
12968,759-94-4,mouse,LD50,oral,750,,"Hygiene and Sanitation, 36(1-3)(196), 1971",S-Ethyl dipropylthiocarbamate
12968,759-94-4,mouse,LD50,intraperitoneal,58,,"Journal of Agricultural and Food Chemistry., 25(404), 1977 [PMID:838982]",S-Ethyl dipropylthiocarbamate
12968,759-94-4,mouse,LD50,intravenous,320,,"U.S. Army Armament Research & Development Command, Chemical Systems Laboratory, NIOSH Exchange Chemicals., NX#03907",S-Ethyl dipropylthiocarbamate
12968,759-94-4,cat,LD50,oral,112,,"Hygiene and Sanitation, 36(1-3)(196), 1971",S-Ethyl dipropylthiocarbamate
12968,759-94-4,rabbit,LD50,oral,2640,,"Prehled Prumyslove Toxikologie; Organicke Latky, Marhold, J., Prague, Czechoslovakia, Avicenum, 1986, -(1020), 1986",S-Ethyl dipropylthiocarbamate
12968,759-94-4,rabbit,LD50,skin,1460,,"World Review of Pest Control., 9(119), 1970",S-Ethyl dipropylthiocarbamate
12968,759-94-4,mammal (species unspecified),LD50,unreported,1660,,"Gigiena i Sanitariya.  For English translation, see HYSAAV., 45(5)(29), 1980",S-Ethyl dipropylthiocarbamate
12968,759-94-4,bird - wild,LD50,oral,100,,"Toxicology and Applied Pharmacology., 21(315), 1972 [PMID:5027965]",S-Ethyl dipropylthiocarbamate
13081,786-19-6,rat,LD50,skin,27,BEHAVIORAL: TREMOR; BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: EXCITEMENT,"Toxicology and Applied Pharmacology., 2(88), 1960 [PMID:13825957]",Carbophenothion
13081,786-19-6,rat,LD50,intraperitoneal,6,,"Advances in Pest Control Research., 4(117), 1961",Carbophenothion
13081,786-19-6,mouse,LD50,oral,218,,"Agricultural Research Service, USDA Information Memorandum., 20(6), 1966",Carbophenothion
13081,786-19-6,mouse,LD50,intraperitoneal,27,,"Proceedings of the Society for Experimental Biology and Medicine., 129(699), 1968 [PMID:5725078]",Carbophenothion
13081,786-19-6,rabbit,LD50,oral,1250,,"Special Publication of the Entomological Society of America., 78-1(40), 1978",Carbophenothion
13081,786-19-6,rabbit,LD50,skin,1270,,"Pesticide Chemicals Official Compendium, Association of the American Pesticide Control Officials, Inc., 1966., -(200), 1966",Carbophenothion
13081,786-19-6,chicken,LD50,oral,57200,PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: ATAXIA,"Toxicology and Applied Pharmacology., 11, 49",Carbophenothion
13081,786-19-6,domestic animals - goat/sheep,LD50,oral,14,,"Ecotoxicology and Environmental Safety., 2(151), 1978 [PMID:729517]",Carbophenothion
13081,786-19-6,chicken,LD50,subcutaneous,640,"PERIPHERAL NERVE AND SENSATION: FLACCID PARALYSIS WITHOUT ANESTHESIA (USUALLY NEUROMUSCULAR BLOCKAGE); BEHAVIORAL: FOOD INTAKE (ANIMAL); GASTROINTESTINAL: HYPERMOTILITY, DIARRHEA","Biochemical Pharmacology., 12(1377), 1963 [PMID:14096425]",Carbophenothion
135491728,99129-21-2,rat,LD50,oral,1360,,"Farm Chemicals Handbook., -(C272), 1991",Clethodim
135491830,74051-80-2,rat,LD50,oral,3200,,"Farm Chemicals Handbook., -(C274), 1991",Sethoxydim
135491830,74051-80-2,rat,LD50,intraperitoneal,1493,,"Defense des Vegetaux., 38(213), 1984",Sethoxydim
135491830,74051-80-2,rat,LD50,intravenous,505,,"Japan Pesticide Information., (41)(18), 1982",Sethoxydim
135491830,74051-80-2,mouse,LD50,oral,5600,,"Japan Pesticide Information., (41)(18), 1982",Sethoxydim
135491830,74051-80-2,mouse,LD50,intravenous,485,,"Japan Pesticide Information., (41)(18), 1982",Sethoxydim
135491830,74051-80-2,rabbit,LD50,oral,4600,,"Defense des Vegetaux., 38(213), 1984",Sethoxydim
13709,950-37-8,man,TDLo,oral,93,SENSE ORGANS AND SPECIAL SENSES: MIOSIS (PUPILLARY CONSTRICTION): EYE; SENSE ORGANS AND SPECIAL SENSES: LACRIMATION: EYE; BEHAVIORAL: COMA,"Human & Experimental Toxicology., 9(415), 1990 [PMID:2271234]",Methidathion
13709,950-37-8,rat,LD50,oral,20,,"World Review of Pest Control., 9(119), 1970",Methidathion
13709,950-37-8,rat,LD50,skin,25,,"World Review of Pest Control., 9(119), 1970",Methidathion
13709,950-37-8,mouse,LD50,oral,25,,"Bulletin of the Entomological Society of America., 15(122), 1969",Methidathion
13709,950-37-8,rabbit,LD50,oral,63,,"Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A268(1983)",Methidathion
13709,950-37-8,rabbit,LD50,skin,196,,Ciba-Geigy Toxicology Data/Indexes.,Methidathion
13709,950-37-8,guinea pig,LD50,oral,25,,"Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A268(1983)",Methidathion
13709,950-37-8,chicken,LD50,oral,80,,"Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A268(1983)",Methidathion
13709,950-37-8,mammal (species unspecified),LD50,oral,25,,"Herba Polonica., 21(53), 1975",Methidathion
13709,950-37-8,mammal (species unspecified),LD50,unreported,25,,"Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(372), 1971",Methidathion
14337,1134-23-2,rat,LD50,oral,1678,,"Fundamental and Applied Toxicology., 7(299), 1986",Cycloate
14337,1134-23-2,rat,LD50,skin,2467,,"Fundamental and Applied Toxicology., 7(299), 1986",Cycloate
14337,1134-23-2,rat,LD50,unreported,2325,,"Environmental Quality and Safety, Supplement., 3(618), 1975 [PMID:1063688]",Cycloate
14337,1134-23-2,mouse,LD50,oral,1275,BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); BEHAVIORAL: COMA,"Gigiena i Sanitariya.  For English translation, see HYSAAV., 51(10)(77), 1986",Cycloate
14337,1134-23-2,mouse,LD50,unreported,2300,,"Tsitologiya i Genetika.  Cytology and Genetics.  For English translation, see CYGEDX., 16(1)(45), 1982",Cycloate
14337,1134-23-2,guinea pig,LD50,oral,1600,BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); BEHAVIORAL: COMA,"Gigiena i Sanitariya.  For English translation, see HYSAAV., 51(10)(77), 1986",Cycloate
14337,1134-23-2,mammal (species unspecified),LD50,unreported,2300,,"Gigiena i Sanitariya.  For English translation, see HYSAAV., 45(5)(29), 1980",Cycloate
1486,94-75-7,man,TDLo,oral,5714,"BEHAVIORAL: COMA; CARDIAC: CHANGE IN RATE; LUNGS, THORAX, OR RESPIRATION: RESPIRATORY DEPRESSION","Archives of Toxicology., 66(518), 1992 [PMID:1444815]","2,4-Dichlorophenoxyacetic acid"
1486,94-75-7,human,LDLo,oral,80,GASTROINTESTINAL: NAUSEA OR VOMITING; BEHAVIORAL: COMA; BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY),"Archives of Pathology., 94(270), 1972 [PMID:5051650]","2,4-Dichlorophenoxyacetic acid"
1486,94-75-7,rat,LD50,oral,375,,"Farm Chemicals Handbook., -(C174), 1991","2,4-Dichlorophenoxyacetic acid"
1486,94-75-7,rat,LD50,skin,1500,,"World Review of Pest Control., 9(119), 1970","2,4-Dichlorophenoxyacetic acid"
1486,94-75-7,rat,LD50,intraperitoneal,666,PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: MUSCLE WEAKNESS; BEHAVIORAL: COMA,"Journal of Industrial Hygiene and Toxicology., 29(85), 1947","2,4-Dichlorophenoxyacetic acid"
1486,94-75-7,mouse,LD50,oral,347,,"Roczniki Panstwowego Zakladu Higieny., 31(373), 1980 [PMID:7433826]","2,4-Dichlorophenoxyacetic acid"
1486,94-75-7,mouse,LDLo,intraperitoneal,125,,"Toxicology and Applied Pharmacology., 23(288), 1972 [PMID:5074577]","2,4-Dichlorophenoxyacetic acid"
1486,94-75-7,dog,LD50,oral,100,BEHAVIORAL: STIFFNESS; BEHAVIORAL: COMA,"Archives of Environmental Health., 7(202), 1963","2,4-Dichlorophenoxyacetic acid"
1486,94-75-7,rabbit,LDLo,oral,800,,"Archives des Maladies Professionnelles de Medecine du Travail et de Securite Sociale., 12(26), 1951 [PMID:14820443]","2,4-Dichlorophenoxyacetic acid"
1486,94-75-7,rabbit,LD50,skin,1400,BEHAVIORAL: ATAXIA; SKIN AND APPENDAGES (SKIN): PRIMARY IRRITATION: AFTER TOPICAL EXPOSURE,"Quarterly Bulletin--Association of Food and Drug Officials of the United States., 16(3), 1952","2,4-Dichlorophenoxyacetic acid"
1486,94-75-7,rabbit,LD50,intraperitoneal,400,PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: MUSCLE WEAKNESS; BEHAVIORAL: COMA,"Journal of Industrial Hygiene and Toxicology., 29(85), 1947","2,4-Dichlorophenoxyacetic acid"
1486,94-75-7,rabbit,LD50,intravenous,400,PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: MUSCLE WEAKNESS; BEHAVIORAL: COMA,"Journal of Industrial Hygiene and Toxicology., 29(85), 1947","2,4-Dichlorophenoxyacetic acid"
1486,94-75-7,guinea pig,LD50,intraperitoneal,666,PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: MUSCLE WEAKNESS; BEHAVIORAL: COMA,"Journal of Industrial Hygiene and Toxicology., 29(85), 1947","2,4-Dichlorophenoxyacetic acid"
1486,94-75-7,hamster,LD50,oral,500,,"Toxicology and Applied Pharmacology., 48(A192), 1979","2,4-Dichlorophenoxyacetic acid"
1486,94-75-7,mammal (species unspecified),LD50,oral,375,,"Science., 165(465), 1969","2,4-Dichlorophenoxyacetic acid"
1486,94-75-7,guinea pig,LD50,oral,469,,"American Journal of Veterinary Research., 15(622), 1954 [PMID:13207589]","2,4-Dichlorophenoxyacetic acid"
1486,94-75-7,chicken,LD50,oral,541,GASTROINTESTINAL: GASTRITIS; BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); LIVER: FATTY LIVER DEGERATION,"American Journal of Veterinary Research., 15(622), 1954 [PMID:13207589]","2,4-Dichlorophenoxyacetic acid"
1486,94-75-7,man,LDLo,oral,93,BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Pharmacological Reviews., 14(225), 1962 [PMID:13883209]","2,4-Dichlorophenoxyacetic acid"
1489,94-82-6,rat,LD50,oral,700,,"Residue Reviews., 10(97), 1965 [PMID:4865270]","4-(2,4-Dichlorophenoxy)butanoic acid"
1489,94-82-6,rat,LD50,skin,800,,"World Review of Pest Control., 9(119), 1970","4-(2,4-Dichlorophenoxy)butanoic acid"
1489,94-82-6,mouse,LDLo,oral,750,,"Gigiena i Sanitariya.  For English translation, see HYSAAV., 29(1)(12), 1964","4-(2,4-Dichlorophenoxy)butanoic acid"
15331,1596-84-5,rat,LD50,oral,8400,,"Farm Chemicals Handbook., -(C94), 1991",Daminozide
15331,1596-84-5,mouse,LD50,oral,6300,,"Materialy Nauchnoi Konferentsii Kaunasskogo Meditsinskogo Inst., 22nd, 1972, Materials of the Scientific Conference of Kaunas Medical Institute, Vaichyuvenas, V.A., ed., Kaunas, USSR, Kaunasskii Meditsinskii Institut, 1973, 22(126), 1973",Daminozide
15331,1596-84-5,mouse,LD50,intraperitoneal,1325,,"Materialy Nauchnoi Konferentsii Kaunasskogo Meditsinskogo Inst., 22nd, 1972, Materials of the Scientific Conference of Kaunas Medical Institute, Vaichyuvenas, V.A., ed., Kaunas, USSR, Kaunasskii Meditsinskii Institut, 1973, 22(126), 1973",Daminozide
15331,1596-84-5,mammal (species unspecified),LD50,unreported,8400,,"Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(127), 1971",Daminozide
153909,101200-48-0,quail,LD50,oral,2250,,"Pesticide Manual., 9(840), 1991",Tribenuron-methyl
15531,1689-84-5,rat,LD50,skin,2,,"Pesticide Manual., 9(100), 1991",Bromoxynil
15531,1689-84-5,mouse,LD50,oral,110,,"Guide to the Chemicals Used in Crop Protection., 6(55), 1973",Bromoxynil
15531,1689-84-5,mouse,LD50,intravenous,56,,"U.S. Army Armament Research & Development Command, Chemical Systems Laboratory, NIOSH Exchange Chemicals., NX#02212",Bromoxynil
15531,1689-84-5,dog,LD50,oral,100,,"Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A045(1983)",Bromoxynil
15531,1689-84-5,rabbit,LD50,oral,260,,"Wirksubstanzen der Pflanzenschutz und Schadlingsbekampfungsmittel, Perkow, W., Berlin, Verlag Paul Parey, 1971-1976, -(-), 1971/1976",Bromoxynil
15531,1689-84-5,rabbit,LD50,skin,3660,,"Pesticide Manual., 9(100), 1991",Bromoxynil
15531,1689-84-5,guinea pig,LD50,oral,63,,"Guide to the Chemicals Used in Crop Protection., 6(55), 1973",Bromoxynil
15531,1689-84-5,chicken,LD50,oral,240,,"Pesticide Manual., 9(100), 1991",Bromoxynil
15531,1689-84-5,duck,LD50,oral,200,,"Down to Earth., 35(25), 1979",Bromoxynil
15531,1689-84-5,mammal (species unspecified),LD50,unreported,190,,"Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(150), 1971",Bromoxynil
15531,1689-84-5,bird - wild,LD50,oral,50,,"Pesticide Manual., 9(100), 1991",Bromoxynil
15531,1689-84-5,rat,LD50,oral,190,,"World Review of Pest Control., 9(119), 1970",Bromoxynil
15553,1702-17-6,rat,LD50,oral,4300,,"Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A433(1985)",Clopyralid
15553,1702-17-6,rat,LD50,intraperitoneal,900,,"Defense des Vegetaux., 31(387), 1977",Clopyralid
15553,1702-17-6,duck,LD50,oral,1465,,"Pesticide Manual., 9(182), 1991",Clopyralid
15910,1897-45-6,rat,LD50,skin,2500,,"Fundamental and Applied Toxicology., 7(299), 1986",Chlorothalonil
15910,1897-45-6,mouse,LD50,oral,3700,,"Hokkaidoritsu Eisei Kenkyushoho.  Report of the Hokkaido Institute of Public Health., 30(53), 1980",Chlorothalonil
15939,4685-14-7,man,LDLo,oral,171,"LUNGS, THORAX, OR RESPIRATION: FIBROSIS, FOCAL (PNEUMOCONIOSIS); GASTROINTESTINAL: CHANGE IN STRUCTURE OR FUNCTION OF ESOPHAGUS; GASTROINTESTINAL: ULCERATION OR BLEEDING FROM STOMACH","Journal of Toxicology, Clinical Toxicology., 26(35), 1988 [PMID:3385847]",Paraquat
15939,4685-14-7,man,LDLo,oral,1690,"LUNGS, THORAX, OR RESPIRATION: RESPIRATORY DEPRESSION; GASTROINTESTINAL: ULCERATION OR BLEEDING FROM STOMACH; KIDNEY, URETER, AND BLADDER: RENAL FUNCTION TESTS DEPRESSED","Journal of Toxicology, Clinical Toxicology., 26(35), 1988 [PMID:3385847]",Paraquat
15939,4685-14-7,rat,LD50,oral,100,,"Iyakuhin Kenkyu.  Study of Medical Supplies., 10(520), 1979",Paraquat
15939,4685-14-7,rat,LD50,unreported,250,BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: CHANGES IN MOTOR ACTIVITY (SPECIFIC ASSAY),"Gigiena Naselennykh Mest.  Hygiene in Populated Places., 17(37), 1978",Paraquat
15939,4685-14-7,mouse,LD50,oral,120,,"General Pharmacology., 14(541), 1983 [PMID:6642196]",Paraquat
15939,4685-14-7,mouse,LD50,unreported,198,BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: CHANGES IN MOTOR ACTIVITY (SPECIFIC ASSAY),"Gigiena Naselennykh Mest.  Hygiene in Populated Places., 17(37), 1978",Paraquat
15939,4685-14-7,dog,LD50,oral,25,,"Iyakuhin Kenkyu.  Study of Medical Supplies., 10(520), 1979",Paraquat
15939,4685-14-7,cat,LD50,oral,35,,"Iyakuhin Kenkyu.  Study of Medical Supplies., 10(520), 1979",Paraquat
15939,4685-14-7,rabbit,LD50,skin,236,,"Pesticide Manual., 9(646), 1991",Paraquat
15939,4685-14-7,guinea pig,LD50,oral,30,,"Iyakuhin Kenkyu.  Study of Medical Supplies., 10(520), 1979",Paraquat
15939,4685-14-7,chicken,LD50,oral,262,,"Pesticide Manual., 9(646), 1991",Paraquat
15939,4685-14-7,mammal (species unspecified),LD50,oral,70,,"Pesticide Manual., 9(646), 1991",Paraquat
15939,4685-14-7,man,LDLo,oral,343,"GASTROINTESTINAL: CHANGE IN STRUCTURE OR FUNCTION OF ESOPHAGUS; GASTROINTESTINAL: ULCERATION OR BLEEDING FROM STOMACH; KIDNEY, URETER, AND BLADDER: RENAL FUNCTION TESTS DEPRESSED","Journal of Toxicology, Clinical Toxicology., 26(35), 1988 [PMID:3385847]",Paraquat
