"cid","organism","testtype","route","dose","effect","reference","cmpdname","...9"
"10788","mouse","LD50","skin","2400 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet",NA
"10788","mouse","LD50","intraperitoneal","98 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet",NA
"10788","mouse","LD50","subcutaneous","248 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE WEAKNESS; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 17(S327), 1992","Dazomet",NA
"10788","mouse","LD50","unreported","650 mg/kg","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(430), 1971","Dazomet",NA
"10788","dog","LD50","intraperitoneal","47 mg/kg","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet",NA
"10788","dog","LDLo","intramuscular","250 mg/kg","SENSE ORGANS AND SPECIAL SENSES: MYDRIASIS (PUPILLARY DILATION): EYE; VASCULAR: BP ELEVATION NOT CHARACTERIZED IN AUTONOMIC SECTION; GASTROINTESTINAL: HYPERMOTILITY, DIARRHEA","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet",NA
"10788","rabbit","LD50","oral","120 mg/kg","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet",NA
"10788","rabbit","LD50","intraperitoneal","127 mg/kg","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet",NA
"10788","guinea pig","LD50","oral","160 mg/kg","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 9(521), 1966","Dazomet",NA
"1118","man","LDLo","unreported","135 mg/kg","NULL","Poisoning; Toxicology, Symptoms, Treatments, 2nd ed., Arena, J.M., Springfield, IL, C.C. Thomas, 1970, 2(73), 1970","Sulfuric Acid",NA
"1118","rat","LD50","oral","2140 mg/kg","NULL","American Industrial Hygiene Association Journal., 30(470), 1969 [PMID:5823428]","Sulfuric Acid",NA
"115224","rat","LD50","oral","444 mg/kg","BEHAVIORAL: TREMOR; GASTROINTESTINAL: DECREASED MOTILITY OR CONSTIPATION; SKIN AND APPENDAGES (SKIN): HAIR: OTHER","National Technical Information Service., OTS0559690","Thiacloprid",NA
"121494065","women","LDLo","oral","562 mg/kg","BEHAVIORAL: COMA; CARDIAC: OTHER CHANGES","Journal of Toxicology, Clinical Toxicology., 35(299), 1997 [PMID:9140325]","Calcium polysulfide",NA
"121494065","man","TDLo","oral","891 mg/kg","BEHAVIORAL: MUSCLE WEAKNESS; GASTROINTESTINAL: ALTERATION IN GASTRIC SECRETION","Journal of Toxicology, Clinical Toxicology., 35(299), 1997 [PMID:9140325]","Calcium polysulfide",NA
"12232","mammal (species unspecified)","LD50","unreported","138 mg/kg","NULL","Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 16(6)(46), 1972","Dimethyl disulfide",NA
"12901","human","LDLo","oral","50 mg/kg","NULL","Special Publication of the Entomological Society of America., 74-1(-), 1974","Phosmet",NA
"12901","rat","LD50","skin","1326 mg/kg","NULL","Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(59), 1982","Phosmet",NA
"12901","mouse","LD50","oral","26 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Hygiene and Sanitation, 34(1-3)(192), 1969","Phosmet",NA
"12901","cat","LD50","unreported","78 mg/kg","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 35(12)(94), 1970","Phosmet",NA
"12901","rabbit","LD50","skin","3160 mg/kg","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A325(1983)","Phosmet",NA
"12901","guinea pig","LD50","oral","200 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Hygiene and Sanitation, 34(1-3)(192), 1969","Phosmet",NA
"12901","guinea pig","LD50","unreported","210 mg/kg","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 35(12)(94), 1970","Phosmet",NA
"12901","chicken","LD50","oral","707 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 6(147), 1964","Phosmet",NA
"12901","duck","LD50","oral","1830 mg/kg","NULL","Down to Earth., 35(25), 1979","Phosmet",NA
"12901","mammal (species unspecified)","LD50","unreported","40 mg/kg","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(370), 1971","Phosmet",NA
"12901","bird - wild","LD50","oral","18 mg/kg","NULL","Toxicology and Applied Pharmacology., 21(315), 1972 [PMID:5027965]","Phosmet",NA
"12901","rat","LD50","unreported","132 mg/kg","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 35(12)(94), 1970","Phosmet",NA
"12932","rat","LD50","oral","271 mg/kg","NULL","Farm Chemicals Handbook., -(C42), 1991","Bensulide",NA
"12932","rat","LD50","skin","3950 mg/kg","NULL","Pesticide Manual., 9(63), 1991","Bensulide",NA
"12932","rat","LD50","unreported","770 mg/kg","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(375), 1971","Bensulide",NA
"12932","mouse","LD50","oral","1540 mg/kg","NULL","Japan Pesticide Information., (27)(11), 1976","Bensulide",NA
"12932","mouse","LD50","intraperitoneal","630 mg/kg","NULL","Japan Pesticide Information., (27)(11), 1976","Bensulide",NA
"12932","mouse","LD50","subcutaneous","630 mg/kg","NULL","Japan Pesticide Information., (27)(11), 1976","Bensulide",NA
"12932","quail","LD50","oral","1386 mg/kg","NULL","Pesticide Manual., 9(63), 1991","Bensulide",NA
"12968","rat","LD50","oral","916 mg/kg","NULL","National Technical Information Service., PB82-913299","S-Ethyl dipropylthiocarbamate",NA
"12968","rat","LD50","skin","3200 mg/kg","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 36(2)(29), 1971","S-Ethyl dipropylthiocarbamate",NA
"12968","rat","LD50","unreported","1660 mg/kg","NULL","Environmental Quality and Safety, Supplement., 3(618), 1975 [PMID:1063688]","S-Ethyl dipropylthiocarbamate",NA
"12968","mouse","LD50","oral","750 mg/kg","NULL","Hygiene and Sanitation, 36(1-3)(196), 1971","S-Ethyl dipropylthiocarbamate",NA
"12968","mouse","LD50","intraperitoneal","58 mg/kg","NULL","Journal of Agricultural and Food Chemistry., 25(404), 1977 [PMID:838982]","S-Ethyl dipropylthiocarbamate",NA
"12968","mouse","LD50","intravenous","320 mg/kg","NULL","U.S. Army Armament Research & Development Command, Chemical Systems Laboratory, NIOSH Exchange Chemicals., NX#03907","S-Ethyl dipropylthiocarbamate",NA
"12968","cat","LD50","oral","112 mg/kg","NULL","Hygiene and Sanitation, 36(1-3)(196), 1971","S-Ethyl dipropylthiocarbamate",NA
"12968","rabbit","LD50","oral","2640 mg/kg","NULL","Prehled Prumyslove Toxikologie; Organicke Latky, Marhold, J., Prague, Czechoslovakia, Avicenum, 1986, -(1020), 1986","S-Ethyl dipropylthiocarbamate",NA
"12968","rabbit","LD50","skin","1460 mg/kg","NULL","World Review of Pest Control., 9(119), 1970","S-Ethyl dipropylthiocarbamate",NA
"12968","mammal (species unspecified)","LD50","unreported","1660 mg/kg","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 45(5)(29), 1980","S-Ethyl dipropylthiocarbamate",NA
"12968","bird - wild","LD50","oral","100 mg/kg","NULL","Toxicology and Applied Pharmacology., 21(315), 1972 [PMID:5027965]","S-Ethyl dipropylthiocarbamate",NA
"13081","rat","LD50","skin","27 mg/kg","BEHAVIORAL: TREMOR; BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: EXCITEMENT","Toxicology and Applied Pharmacology., 2(88), 1960 [PMID:13825957]","Carbophenothion",NA
"13081","rat","LD50","intraperitoneal","6 mg/kg","NULL","Advances in Pest Control Research., 4(117), 1961","Carbophenothion",NA
"13081","mouse","LD50","oral","218 mg/kg","NULL","Agricultural Research Service, USDA Information Memorandum., 20(6), 1966","Carbophenothion",NA
"13081","mouse","LD50","intraperitoneal","27 mg/kg","NULL","Proceedings of the Society for Experimental Biology and Medicine., 129(699), 1968 [PMID:5725078]","Carbophenothion",NA
"13081","rabbit","LD50","oral","1250 mg/kg","NULL","Special Publication of the Entomological Society of America., 78-1(40), 1978","Carbophenothion",NA
"13081","rabbit","LD50","skin","1270 mg/kg","NULL","Pesticide Chemicals Official Compendium, Association of the American Pesticide Control Officials, Inc., 1966., -(200), 1966","Carbophenothion",NA
"13081","chicken","LD50","oral","57200 mg/kg","PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: ATAXIA","Toxicology and Applied Pharmacology., 11, 49","Carbophenothion",NA
"13081","domestic animals - goat/sheep","LD50","oral","14 mg/kg","NULL","Ecotoxicology and Environmental Safety., 2(151), 1978 [PMID:729517]","Carbophenothion",NA
"13081","chicken","LD50","subcutaneous","640 mg/kg","PERIPHERAL NERVE AND SENSATION: FLACCID PARALYSIS WITHOUT ANESTHESIA (USUALLY NEUROMUSCULAR BLOCKAGE); BEHAVIORAL: FOOD INTAKE (ANIMAL); GASTROINTESTINAL: HYPERMOTILITY, DIARRHEA","Biochemical Pharmacology., 12(1377), 1963 [PMID:14096425]","Carbophenothion",NA
"135491728","rat","LD50","oral","1360 mg/kg","NULL","Farm Chemicals Handbook., -(C272), 1991","Clethodim",NA
"135491830","rat","LD50","oral","3200 mg/kg","NULL","Farm Chemicals Handbook., -(C274), 1991","Sethoxydim",NA
"135491830","rat","LD50","intraperitoneal","1493 mg/kg","NULL","Defense des Vegetaux., 38(213), 1984","Sethoxydim",NA
"135491830","rat","LD50","intravenous","505 mg/kg","NULL","Japan Pesticide Information., (41)(18), 1982","Sethoxydim",NA
"135491830","mouse","LD50","oral","5600 mg/kg","NULL","Japan Pesticide Information., (41)(18), 1982","Sethoxydim",NA
"135491830","mouse","LD50","intravenous","485 mg/kg","NULL","Japan Pesticide Information., (41)(18), 1982","Sethoxydim",NA
"135491830","rabbit","LD50","oral","4600 mg/kg","NULL","Defense des Vegetaux., 38(213), 1984","Sethoxydim",NA
"13709","man","TDLo","oral","93 mg/kg","SENSE ORGANS AND SPECIAL SENSES: MIOSIS (PUPILLARY CONSTRICTION): EYE; SENSE ORGANS AND SPECIAL SENSES: LACRIMATION: EYE; BEHAVIORAL: COMA","Human & Experimental Toxicology., 9(415), 1990 [PMID:2271234]","Methidathion",NA
"13709","rat","LD50","oral","20 mg/kg","NULL","World Review of Pest Control., 9(119), 1970","Methidathion",NA
"13709","rat","LD50","skin","25 mg/kg","NULL","World Review of Pest Control., 9(119), 1970","Methidathion",NA
"13709","mouse","LD50","oral","25 mg/kg","NULL","Bulletin of the Entomological Society of America., 15(122), 1969","Methidathion",NA
"13709","rabbit","LD50","oral","63 mg/kg","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A268(1983)","Methidathion",NA
"13709","rabbit","LD50","skin","196 mg/kg","NULL","Ciba-Geigy Toxicology Data/Indexes.","Methidathion",NA
"13709","guinea pig","LD50","oral","25 mg/kg","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A268(1983)","Methidathion",NA
"13709","chicken","LD50","oral","80 mg/kg","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A268(1983)","Methidathion",NA
"13709","mammal (species unspecified)","LD50","oral","25 mg/kg","NULL","Herba Polonica., 21(53), 1975","Methidathion",NA
"13709","mammal (species unspecified)","LD50","unreported","25 mg/kg","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(372), 1971","Methidathion",NA
"14337","rat","LD50","oral","1678 mg/kg","NULL","Fundamental and Applied Toxicology., 7(299), 1986","Cycloate",NA
"14337","rat","LD50","skin","2467 mg/kg","NULL","Fundamental and Applied Toxicology., 7(299), 1986","Cycloate",NA
"14337","rat","LD50","unreported","2325 mg/kg","NULL","Environmental Quality and Safety, Supplement., 3(618), 1975 [PMID:1063688]","Cycloate",NA
"14337","mouse","LD50","oral","1275 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); BEHAVIORAL: COMA","Gigiena i Sanitariya.  For English translation, see HYSAAV., 51(10)(77), 1986","Cycloate",NA
"14337","mouse","LD50","unreported","2300 mg/kg","NULL","Tsitologiya i Genetika.  Cytology and Genetics.  For English translation, see CYGEDX., 16(1)(45), 1982","Cycloate",NA
"14337","guinea pig","LD50","oral","1600 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); BEHAVIORAL: COMA","Gigiena i Sanitariya.  For English translation, see HYSAAV., 51(10)(77), 1986","Cycloate",NA
"14337","mammal (species unspecified)","LD50","unreported","2300 mg/kg","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 45(5)(29), 1980","Cycloate",NA
"1486","man","TDLo","oral","5714 mg/kg","BEHAVIORAL: COMA; CARDIAC: CHANGE IN RATE; LUNGS, THORAX, OR RESPIRATION: RESPIRATORY DEPRESSION","Archives of Toxicology., 66(518), 1992 [PMID:1444815]","2,4-Dichlorophenoxyacetic acid",NA
"1486","human","LDLo","oral","80 mg/kg","GASTROINTESTINAL: NAUSEA OR VOMITING; BEHAVIORAL: COMA; BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)","Archives of Pathology., 94(270), 1972 [PMID:5051650]","2,4-Dichlorophenoxyacetic acid",NA
"1486","rat","LD50","oral","375 mg/kg","NULL","Farm Chemicals Handbook., -(C174), 1991","2,4-Dichlorophenoxyacetic acid",NA
"1486","rat","LD50","skin","1500 mg/kg","NULL","World Review of Pest Control., 9(119), 1970","2,4-Dichlorophenoxyacetic acid",NA
"1486","rat","LD50","intraperitoneal","666 mg/kg","PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: MUSCLE WEAKNESS; BEHAVIORAL: COMA","Journal of Industrial Hygiene and Toxicology., 29(85), 1947","2,4-Dichlorophenoxyacetic acid",NA
"1486","mouse","LD50","oral","347 mg/kg","NULL","Roczniki Panstwowego Zakladu Higieny., 31(373), 1980 [PMID:7433826]","2,4-Dichlorophenoxyacetic acid",NA
"1486","mouse","LDLo","intraperitoneal","125 mg/kg","NULL","Toxicology and Applied Pharmacology., 23(288), 1972 [PMID:5074577]","2,4-Dichlorophenoxyacetic acid",NA
"1486","dog","LD50","oral","100 mg/kg","BEHAVIORAL: STIFFNESS; BEHAVIORAL: COMA","Archives of Environmental Health., 7(202), 1963","2,4-Dichlorophenoxyacetic acid",NA
"1486","rabbit","LDLo","oral","800 mg/kg","NULL","Archives des Maladies Professionnelles de Medecine du Travail et de Securite Sociale., 12(26), 1951 [PMID:14820443]","2,4-Dichlorophenoxyacetic acid",NA
"1486","rabbit","LD50","skin","1400 mg/kg","BEHAVIORAL: ATAXIA; SKIN AND APPENDAGES (SKIN): PRIMARY IRRITATION: AFTER TOPICAL EXPOSURE","Quarterly Bulletin--Association of Food and Drug Officials of the United States., 16(3), 1952","2,4-Dichlorophenoxyacetic acid",NA
"1486","rabbit","LD50","intraperitoneal","400 mg/kg","PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: MUSCLE WEAKNESS; BEHAVIORAL: COMA","Journal of Industrial Hygiene and Toxicology., 29(85), 1947","2,4-Dichlorophenoxyacetic acid",NA
"1486","rabbit","LD50","intravenous","400 mg/kg","PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: MUSCLE WEAKNESS; BEHAVIORAL: COMA","Journal of Industrial Hygiene and Toxicology., 29(85), 1947","2,4-Dichlorophenoxyacetic acid",NA
"1486","guinea pig","LD50","intraperitoneal","666 mg/kg","PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: MUSCLE WEAKNESS; BEHAVIORAL: COMA","Journal of Industrial Hygiene and Toxicology., 29(85), 1947","2,4-Dichlorophenoxyacetic acid",NA
"1486","hamster","LD50","oral","500 mg/kg","NULL","Toxicology and Applied Pharmacology., 48(A192), 1979","2,4-Dichlorophenoxyacetic acid",NA
"1486","mammal (species unspecified)","LD50","oral","375 mg/kg","NULL","Science., 165(465), 1969","2,4-Dichlorophenoxyacetic acid",NA
"1486","guinea pig","LD50","oral","469 mg/kg","NULL","American Journal of Veterinary Research., 15(622), 1954 [PMID:13207589]","2,4-Dichlorophenoxyacetic acid",NA
"1486","chicken","LD50","oral","541 mg/kg","GASTROINTESTINAL: GASTRITIS; BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); LIVER: FATTY LIVER DEGERATION","American Journal of Veterinary Research., 15(622), 1954 [PMID:13207589]","2,4-Dichlorophenoxyacetic acid",NA
"1486","man","LDLo","oral","93 mg/kg","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Pharmacological Reviews., 14(225), 1962 [PMID:13883209]","2,4-Dichlorophenoxyacetic acid",NA
"1489","rat","LD50","oral","700 mg/kg","NULL","Residue Reviews., 10(97), 1965 [PMID:4865270]","4-(2,4-Dichlorophenoxy)butanoic acid",NA
"1489","rat","LD50","skin","800 mg/kg","NULL","World Review of Pest Control., 9(119), 1970","4-(2,4-Dichlorophenoxy)butanoic acid",NA
"1489","mouse","LDLo","oral","750 mg/kg","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 29(1)(12), 1964","4-(2,4-Dichlorophenoxy)butanoic acid",NA
"15331","rat","LD50","oral","8400 mg/kg","NULL","Farm Chemicals Handbook., -(C94), 1991","Daminozide",NA
"15331","mouse","LD50","oral","6300 mg/kg","NULL","Materialy Nauchnoi Konferentsii Kaunasskogo Meditsinskogo Inst., 22nd, 1972, Materials of the Scientific Conference of Kaunas Medical Institute, Vaichyuvenas, V.A., ed., Kaunas, USSR, Kaunasskii Meditsinskii Institut, 1973, 22(126), 1973","Daminozide",NA
"15331","mouse","LD50","intraperitoneal","1325 mg/kg","NULL","Materialy Nauchnoi Konferentsii Kaunasskogo Meditsinskogo Inst., 22nd, 1972, Materials of the Scientific Conference of Kaunas Medical Institute, Vaichyuvenas, V.A., ed., Kaunas, USSR, Kaunasskii Meditsinskii Institut, 1973, 22(126), 1973","Daminozide",NA
"15331","mammal (species unspecified)","LD50","unreported","8400 mg/kg","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(127), 1971","Daminozide",NA
"153909","quail","LD50","oral","2250 mg/kg","NULL","Pesticide Manual., 9(840), 1991","Tribenuron-methyl",NA
"15531","rat","LD50","skin","2 mg/kg","NULL","Pesticide Manual., 9(100), 1991","Bromoxynil",NA
"15531","mouse","LD50","oral","110 mg/kg","NULL","Guide to the Chemicals Used in Crop Protection., 6(55), 1973","Bromoxynil",NA
"15531","mouse","LD50","intravenous","56 mg/kg","NULL","U.S. Army Armament Research & Development Command, Chemical Systems Laboratory, NIOSH Exchange Chemicals., NX#02212","Bromoxynil",NA
"15531","dog","LD50","oral","100 mg/kg","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A045(1983)","Bromoxynil",NA
"15531","rabbit","LD50","oral","260 mg/kg","NULL","Wirksubstanzen der Pflanzenschutz und Schadlingsbekampfungsmittel, Perkow, W., Berlin, Verlag Paul Parey, 1971-1976, -(-), 1971/1976","Bromoxynil",NA
"15531","rabbit","LD50","skin","3660 mg/kg","NULL","Pesticide Manual., 9(100), 1991","Bromoxynil",NA
"15531","guinea pig","LD50","oral","63 mg/kg","NULL","Guide to the Chemicals Used in Crop Protection., 6(55), 1973","Bromoxynil",NA
"15531","chicken","LD50","oral","240 mg/kg","NULL","Pesticide Manual., 9(100), 1991","Bromoxynil",NA
"15531","duck","LD50","oral","200 mg/kg","NULL","Down to Earth., 35(25), 1979","Bromoxynil",NA
"15531","mammal (species unspecified)","LD50","unreported","190 mg/kg","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(150), 1971","Bromoxynil",NA
"15531","bird - wild","LD50","oral","50 mg/kg","NULL","Pesticide Manual., 9(100), 1991","Bromoxynil",NA
"15531","rat","LD50","oral","190 mg/kg","NULL","World Review of Pest Control., 9(119), 1970","Bromoxynil",NA
"15553","rat","LD50","oral","4300 mg/kg","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A433(1985)","Clopyralid",NA
"15553","rat","LD50","intraperitoneal","900 mg/kg","NULL","Defense des Vegetaux., 31(387), 1977","Clopyralid",NA
"15553","duck","LD50","oral","1465 mg/kg","NULL","Pesticide Manual., 9(182), 1991","Clopyralid",NA
"15910","rat","LD50","skin","2500 mg/kg","NULL","Fundamental and Applied Toxicology., 7(299), 1986","Chlorothalonil",NA
"15910","mouse","LD50","oral","3700 mg/kg","NULL","Hokkaidoritsu Eisei Kenkyushoho.  Report of the Hokkaido Institute of Public Health., 30(53), 1980","Chlorothalonil",NA
"15939","man","LDLo","oral","171 mg/kg","LUNGS, THORAX, OR RESPIRATION: FIBROSIS, FOCAL (PNEUMOCONIOSIS); GASTROINTESTINAL: CHANGE IN STRUCTURE OR FUNCTION OF ESOPHAGUS; GASTROINTESTINAL: ULCERATION OR BLEEDING FROM STOMACH","Journal of Toxicology, Clinical Toxicology., 26(35), 1988 [PMID:3385847]","Paraquat",NA
"15939","man","LDLo","oral","1690 mg/kg","LUNGS, THORAX, OR RESPIRATION: RESPIRATORY DEPRESSION; GASTROINTESTINAL: ULCERATION OR BLEEDING FROM STOMACH; KIDNEY, URETER, AND BLADDER: RENAL FUNCTION TESTS DEPRESSED","Journal of Toxicology, Clinical Toxicology., 26(35), 1988 [PMID:3385847]","Paraquat",NA
"15939","rat","LD50","oral","100 mg/kg","NULL","Iyakuhin Kenkyu.  Study of Medical Supplies., 10(520), 1979","Paraquat",NA
"15939","rat","LD50","unreported","250 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: CHANGES IN MOTOR ACTIVITY (SPECIFIC ASSAY)","Gigiena Naselennykh Mest.  Hygiene in Populated Places., 17(37), 1978","Paraquat",NA
"15939","mouse","LD50","oral","120 mg/kg","NULL","General Pharmacology., 14(541), 1983 [PMID:6642196]","Paraquat",NA
"15939","mouse","LD50","unreported","198 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: CHANGES IN MOTOR ACTIVITY (SPECIFIC ASSAY)","Gigiena Naselennykh Mest.  Hygiene in Populated Places., 17(37), 1978","Paraquat",NA
