"cid","organism","testtype","route","dose_mg_per_kg","effect","reference","cmpdname"
"12968","rat","LD50","skin",3200,"NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 36(2)(29), 1971","S-Ethyl dipropylthiocarbamate"
"12968","rat","LD50","unreported",1660,"NULL","Environmental Quality and Safety, Supplement., 3(618), 1975 [PMID:1063688]","S-Ethyl dipropylthiocarbamate"
"12968","mouse","LD50","oral",750,"NULL","Hygiene and Sanitation, 36(1-3)(196), 1971","S-Ethyl dipropylthiocarbamate"
"12968","mouse","LD50","intraperitoneal",58,"NULL","Journal of Agricultural and Food Chemistry., 25(404), 1977 [PMID:838982]","S-Ethyl dipropylthiocarbamate"
"12968","mouse","LD50","intravenous",320,"NULL","U.S. Army Armament Research & Development Command, Chemical Systems Laboratory, NIOSH Exchange Chemicals., NX#03907","S-Ethyl dipropylthiocarbamate"
"12968","cat","LD50","oral",112,"NULL","Hygiene and Sanitation, 36(1-3)(196), 1971","S-Ethyl dipropylthiocarbamate"
"12968","rabbit","LD50","oral",2640,"NULL","Prehled Prumyslove Toxikologie; Organicke Latky, Marhold, J., Prague, Czechoslovakia, Avicenum, 1986, -(1020), 1986","S-Ethyl dipropylthiocarbamate"
"12968","rabbit","LD50","skin",1460,"NULL","World Review of Pest Control., 9(119), 1970","S-Ethyl dipropylthiocarbamate"
"12968","mammal (species unspecified)","LD50","unreported",1660,"NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 45(5)(29), 1980","S-Ethyl dipropylthiocarbamate"
"12968","bird - wild","LD50","oral",100,"NULL","Toxicology and Applied Pharmacology., 21(315), 1972 [PMID:5027965]","S-Ethyl dipropylthiocarbamate"
"13081","rat","LD50","skin",27,"BEHAVIORAL: TREMOR; BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: EXCITEMENT","Toxicology and Applied Pharmacology., 2(88), 1960 [PMID:13825957]","Carbophenothion"
"13081","rat","LD50","intraperitoneal",6,"NULL","Advances in Pest Control Research., 4(117), 1961","Carbophenothion"
"13081","mouse","LD50","oral",218,"NULL","Agricultural Research Service, USDA Information Memorandum., 20(6), 1966","Carbophenothion"
"13081","mouse","LD50","intraperitoneal",27,"NULL","Proceedings of the Society for Experimental Biology and Medicine., 129(699), 1968 [PMID:5725078]","Carbophenothion"
"13081","rabbit","LD50","oral",1250,"NULL","Special Publication of the Entomological Society of America., 78-1(40), 1978","Carbophenothion"
"13081","rabbit","LD50","skin",1270,"NULL","Pesticide Chemicals Official Compendium, Association of the American Pesticide Control Officials, Inc., 1966., -(200), 1966","Carbophenothion"
"13081","chicken","LD50","oral",57200,"PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: ATAXIA","Toxicology and Applied Pharmacology., 11, 49","Carbophenothion"
"13081","domestic animals - goat/sheep","LD50","oral",14,"NULL","Ecotoxicology and Environmental Safety., 2(151), 1978 [PMID:729517]","Carbophenothion"
"13081","chicken","LD50","subcutaneous",640,"PERIPHERAL NERVE AND SENSATION: FLACCID PARALYSIS WITHOUT ANESTHESIA (USUALLY NEUROMUSCULAR BLOCKAGE); BEHAVIORAL: FOOD INTAKE (ANIMAL); GASTROINTESTINAL: HYPERMOTILITY, DIARRHEA","Biochemical Pharmacology., 12(1377), 1963 [PMID:14096425]","Carbophenothion"
"135491728","rat","LD50","oral",1360,"NULL","Farm Chemicals Handbook., -(C272), 1991","Clethodim"
"135491830","rat","LD50","oral",3200,"NULL","Farm Chemicals Handbook., -(C274), 1991","Sethoxydim"
"135491830","rat","LD50","intraperitoneal",1493,"NULL","Defense des Vegetaux., 38(213), 1984","Sethoxydim"
"135491830","rat","LD50","intravenous",505,"NULL","Japan Pesticide Information., (41)(18), 1982","Sethoxydim"
"135491830","mouse","LD50","oral",5600,"NULL","Japan Pesticide Information., (41)(18), 1982","Sethoxydim"
"135491830","mouse","LD50","intravenous",485,"NULL","Japan Pesticide Information., (41)(18), 1982","Sethoxydim"
"135491830","rabbit","LD50","oral",4600,"NULL","Defense des Vegetaux., 38(213), 1984","Sethoxydim"
"13709","man","TDLo","oral",93,"SENSE ORGANS AND SPECIAL SENSES: MIOSIS (PUPILLARY CONSTRICTION): EYE; SENSE ORGANS AND SPECIAL SENSES: LACRIMATION: EYE; BEHAVIORAL: COMA","Human & Experimental Toxicology., 9(415), 1990 [PMID:2271234]","Methidathion"
"13709","rat","LD50","oral",20,"NULL","World Review of Pest Control., 9(119), 1970","Methidathion"
"13709","rat","LD50","skin",25,"NULL","World Review of Pest Control., 9(119), 1970","Methidathion"
"13709","mouse","LD50","oral",25,"NULL","Bulletin of the Entomological Society of America., 15(122), 1969","Methidathion"
"13709","rabbit","LD50","oral",63,"NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A268(1983)","Methidathion"
"13709","rabbit","LD50","skin",196,"NULL","Ciba-Geigy Toxicology Data/Indexes.","Methidathion"
"13709","guinea pig","LD50","oral",25,"NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A268(1983)","Methidathion"
"13709","chicken","LD50","oral",80,"NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A268(1983)","Methidathion"
"13709","mammal (species unspecified)","LD50","oral",25,"NULL","Herba Polonica., 21(53), 1975","Methidathion"
"13709","mammal (species unspecified)","LD50","unreported",25,"NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(372), 1971","Methidathion"
"14337","rat","LD50","oral",1678,"NULL","Fundamental and Applied Toxicology., 7(299), 1986","Cycloate"
"14337","rat","LD50","skin",2467,"NULL","Fundamental and Applied Toxicology., 7(299), 1986","Cycloate"
"14337","rat","LD50","unreported",2325,"NULL","Environmental Quality and Safety, Supplement., 3(618), 1975 [PMID:1063688]","Cycloate"
"14337","mouse","LD50","oral",1275,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); BEHAVIORAL: COMA","Gigiena i Sanitariya.  For English translation, see HYSAAV., 51(10)(77), 1986","Cycloate"
"14337","mouse","LD50","unreported",2300,"NULL","Tsitologiya i Genetika.  Cytology and Genetics.  For English translation, see CYGEDX., 16(1)(45), 1982","Cycloate"
"14337","guinea pig","LD50","oral",1600,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); BEHAVIORAL: COMA","Gigiena i Sanitariya.  For English translation, see HYSAAV., 51(10)(77), 1986","Cycloate"
"14337","mammal (species unspecified)","LD50","unreported",2300,"NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 45(5)(29), 1980","Cycloate"
"1486","man","TDLo","oral",5714,"BEHAVIORAL: COMA; CARDIAC: CHANGE IN RATE; LUNGS, THORAX, OR RESPIRATION: RESPIRATORY DEPRESSION","Archives of Toxicology., 66(518), 1992 [PMID:1444815]","2,4-Dichlorophenoxyacetic acid"
"1486","human","LDLo","oral",80,"GASTROINTESTINAL: NAUSEA OR VOMITING; BEHAVIORAL: COMA; BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)","Archives of Pathology., 94(270), 1972 [PMID:5051650]","2,4-Dichlorophenoxyacetic acid"
"1486","rat","LD50","oral",375,"NULL","Farm Chemicals Handbook., -(C174), 1991","2,4-Dichlorophenoxyacetic acid"
"1486","rat","LD50","skin",1500,"NULL","World Review of Pest Control., 9(119), 1970","2,4-Dichlorophenoxyacetic acid"
"1486","rat","LD50","intraperitoneal",666,"PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: MUSCLE WEAKNESS; BEHAVIORAL: COMA","Journal of Industrial Hygiene and Toxicology., 29(85), 1947","2,4-Dichlorophenoxyacetic acid"
"1486","mouse","LD50","oral",347,"NULL","Roczniki Panstwowego Zakladu Higieny., 31(373), 1980 [PMID:7433826]","2,4-Dichlorophenoxyacetic acid"
"1486","mouse","LDLo","intraperitoneal",125,"NULL","Toxicology and Applied Pharmacology., 23(288), 1972 [PMID:5074577]","2,4-Dichlorophenoxyacetic acid"
"1486","dog","LD50","oral",100,"BEHAVIORAL: STIFFNESS; BEHAVIORAL: COMA","Archives of Environmental Health., 7(202), 1963","2,4-Dichlorophenoxyacetic acid"
"1486","rabbit","LDLo","oral",800,"NULL","Archives des Maladies Professionnelles de Medecine du Travail et de Securite Sociale., 12(26), 1951 [PMID:14820443]","2,4-Dichlorophenoxyacetic acid"
"1486","rabbit","LD50","skin",1400,"BEHAVIORAL: ATAXIA; SKIN AND APPENDAGES (SKIN): PRIMARY IRRITATION: AFTER TOPICAL EXPOSURE","Quarterly Bulletin--Association of Food and Drug Officials of the United States., 16(3), 1952","2,4-Dichlorophenoxyacetic acid"
"1486","rabbit","LD50","intraperitoneal",400,"PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: MUSCLE WEAKNESS; BEHAVIORAL: COMA","Journal of Industrial Hygiene and Toxicology., 29(85), 1947","2,4-Dichlorophenoxyacetic acid"
"1486","rabbit","LD50","intravenous",400,"PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: MUSCLE WEAKNESS; BEHAVIORAL: COMA","Journal of Industrial Hygiene and Toxicology., 29(85), 1947","2,4-Dichlorophenoxyacetic acid"
"1486","guinea pig","LD50","intraperitoneal",666,"PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE; BEHAVIORAL: MUSCLE WEAKNESS; BEHAVIORAL: COMA","Journal of Industrial Hygiene and Toxicology., 29(85), 1947","2,4-Dichlorophenoxyacetic acid"
"1486","hamster","LD50","oral",500,"NULL","Toxicology and Applied Pharmacology., 48(A192), 1979","2,4-Dichlorophenoxyacetic acid"
"1486","mammal (species unspecified)","LD50","oral",375,"NULL","Science., 165(465), 1969","2,4-Dichlorophenoxyacetic acid"
"1486","guinea pig","LD50","oral",469,"NULL","American Journal of Veterinary Research., 15(622), 1954 [PMID:13207589]","2,4-Dichlorophenoxyacetic acid"
"1486","chicken","LD50","oral",541,"GASTROINTESTINAL: GASTRITIS; BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); LIVER: FATTY LIVER DEGERATION","American Journal of Veterinary Research., 15(622), 1954 [PMID:13207589]","2,4-Dichlorophenoxyacetic acid"
"1486","man","LDLo","oral",93,"BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Pharmacological Reviews., 14(225), 1962 [PMID:13883209]","2,4-Dichlorophenoxyacetic acid"
"1489","rat","LD50","oral",700,"NULL","Residue Reviews., 10(97), 1965 [PMID:4865270]","4-(2,4-Dichlorophenoxy)butanoic acid"
"1489","rat","LD50","skin",800,"NULL","World Review of Pest Control., 9(119), 1970","4-(2,4-Dichlorophenoxy)butanoic acid"
"1489","mouse","LDLo","oral",750,"NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 29(1)(12), 1964","4-(2,4-Dichlorophenoxy)butanoic acid"
"15331","rat","LD50","oral",8400,"NULL","Farm Chemicals Handbook., -(C94), 1991","Daminozide"
"15331","mouse","LD50","oral",6300,"NULL","Materialy Nauchnoi Konferentsii Kaunasskogo Meditsinskogo Inst., 22nd, 1972, Materials of the Scientific Conference of Kaunas Medical Institute, Vaichyuvenas, V.A., ed., Kaunas, USSR, Kaunasskii Meditsinskii Institut, 1973, 22(126), 1973","Daminozide"
"15331","mouse","LD50","intraperitoneal",1325,"NULL","Materialy Nauchnoi Konferentsii Kaunasskogo Meditsinskogo Inst., 22nd, 1972, Materials of the Scientific Conference of Kaunas Medical Institute, Vaichyuvenas, V.A., ed., Kaunas, USSR, Kaunasskii Meditsinskii Institut, 1973, 22(126), 1973","Daminozide"
"15331","mammal (species unspecified)","LD50","unreported",8400,"NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(127), 1971","Daminozide"
"153909","quail","LD50","oral",2250,"NULL","Pesticide Manual., 9(840), 1991","Tribenuron-methyl"
"15531","rat","LD50","skin",2,"NULL","Pesticide Manual., 9(100), 1991","Bromoxynil"
"15531","mouse","LD50","oral",110,"NULL","Guide to the Chemicals Used in Crop Protection., 6(55), 1973","Bromoxynil"
"15531","mouse","LD50","intravenous",56,"NULL","U.S. Army Armament Research & Development Command, Chemical Systems Laboratory, NIOSH Exchange Chemicals., NX#02212","Bromoxynil"
"15531","dog","LD50","oral",100,"NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A045(1983)","Bromoxynil"
"15531","rabbit","LD50","oral",260,"NULL","Wirksubstanzen der Pflanzenschutz und Schadlingsbekampfungsmittel, Perkow, W., Berlin, Verlag Paul Parey, 1971-1976, -(-), 1971/1976","Bromoxynil"
"15531","rabbit","LD50","skin",3660,"NULL","Pesticide Manual., 9(100), 1991","Bromoxynil"
"15531","guinea pig","LD50","oral",63,"NULL","Guide to the Chemicals Used in Crop Protection., 6(55), 1973","Bromoxynil"
"15531","chicken","LD50","oral",240,"NULL","Pesticide Manual., 9(100), 1991","Bromoxynil"
"15531","duck","LD50","oral",200,"NULL","Down to Earth., 35(25), 1979","Bromoxynil"
"15531","mammal (species unspecified)","LD50","unreported",190,"NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(150), 1971","Bromoxynil"
"15531","bird - wild","LD50","oral",50,"NULL","Pesticide Manual., 9(100), 1991","Bromoxynil"
"15531","rat","LD50","oral",190,"NULL","World Review of Pest Control., 9(119), 1970","Bromoxynil"
"15553","rat","LD50","oral",4300,"NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A433(1985)","Clopyralid"
"15553","rat","LD50","intraperitoneal",900,"NULL","Defense des Vegetaux., 31(387), 1977","Clopyralid"
"15553","duck","LD50","oral",1465,"NULL","Pesticide Manual., 9(182), 1991","Clopyralid"
"15910","rat","LD50","skin",2500,"NULL","Fundamental and Applied Toxicology., 7(299), 1986","Chlorothalonil"
"15910","mouse","LD50","oral",3700,"NULL","Hokkaidoritsu Eisei Kenkyushoho.  Report of the Hokkaido Institute of Public Health., 30(53), 1980","Chlorothalonil"
"15939","man","LDLo","oral",171,"LUNGS, THORAX, OR RESPIRATION: FIBROSIS, FOCAL (PNEUMOCONIOSIS); GASTROINTESTINAL: CHANGE IN STRUCTURE OR FUNCTION OF ESOPHAGUS; GASTROINTESTINAL: ULCERATION OR BLEEDING FROM STOMACH","Journal of Toxicology, Clinical Toxicology., 26(35), 1988 [PMID:3385847]","Paraquat"
"15939","man","LDLo","oral",1690,"LUNGS, THORAX, OR RESPIRATION: RESPIRATORY DEPRESSION; GASTROINTESTINAL: ULCERATION OR BLEEDING FROM STOMACH; KIDNEY, URETER, AND BLADDER: RENAL FUNCTION TESTS DEPRESSED","Journal of Toxicology, Clinical Toxicology., 26(35), 1988 [PMID:3385847]","Paraquat"
"15939","rat","LD50","oral",100,"NULL","Iyakuhin Kenkyu.  Study of Medical Supplies., 10(520), 1979","Paraquat"
"15939","rat","LD50","unreported",250,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: CHANGES IN MOTOR ACTIVITY (SPECIFIC ASSAY)","Gigiena Naselennykh Mest.  Hygiene in Populated Places., 17(37), 1978","Paraquat"
"15939","mouse","LD50","oral",120,"NULL","General Pharmacology., 14(541), 1983 [PMID:6642196]","Paraquat"
"15939","mouse","LD50","unreported",198,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: CHANGES IN MOTOR ACTIVITY (SPECIFIC ASSAY)","Gigiena Naselennykh Mest.  Hygiene in Populated Places., 17(37), 1978","Paraquat"
"15939","dog","LD50","oral",25,"NULL","Iyakuhin Kenkyu.  Study of Medical Supplies., 10(520), 1979","Paraquat"
"15939","cat","LD50","oral",35,"NULL","Iyakuhin Kenkyu.  Study of Medical Supplies., 10(520), 1979","Paraquat"
"15939","rabbit","LD50","skin",236,"NULL","Pesticide Manual., 9(646), 1991","Paraquat"
"15939","guinea pig","LD50","oral",30,"NULL","Iyakuhin Kenkyu.  Study of Medical Supplies., 10(520), 1979","Paraquat"
"15939","chicken","LD50","oral",262,"NULL","Pesticide Manual., 9(646), 1991","Paraquat"
"15939","mammal (species unspecified)","LD50","oral",70,"NULL","Pesticide Manual., 9(646), 1991","Paraquat"
"15939","man","LDLo","oral",343,"GASTROINTESTINAL: CHANGE IN STRUCTURE OR FUNCTION OF ESOPHAGUS; GASTROINTESTINAL: ULCERATION OR BLEEDING FROM STOMACH; KIDNEY, URETER, AND BLADDER: RENAL FUNCTION TESTS DEPRESSED","Journal of Toxicology, Clinical Toxicology., 26(35), 1988 [PMID:3385847]","Paraquat"
"15939","man","LDLo","oral",200,"LUNGS, THORAX, OR RESPIRATION: RESPIRATORY DEPRESSION; KIDNEY, URETER, AND BLADDER: RENAL FUNCTION TESTS DEPRESSED","Medical Journal of Australia., 158(28), 1993 [PMID:8417286]","Paraquat"
"15965","rat","LD50","oral",8200,"NULL","Down to Earth., 35(25), 1979","Picloram"
"16248","rat","LD50","oral",20,"NULL","Farm Chemicals Handbook., -(C199), 1991","Methiocarb"
"16248","rat","LD50","skin",350,"NULL","Pesticide Chemicals Official Compendium, Association of the American Pesticide Control Officials, Inc., 1966., -(105), 1966","Methiocarb"
"16248","rat","LD50","unreported",100,"NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(194), 1971","Methiocarb"
"16248","mouse","LD50","intraperitoneal",16,"NULL","Toxicology and Applied Pharmacology., 6(402), 1964","Methiocarb"
